日付,曜,A,B,C,D,E,F,G,H,I,J,K,L,M
2022/7/1,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/7/2,土,,,,,,,,,,,,,
2022/7/3,日,,,,,,,,,,,,,
2022/7/4,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/7/5,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/7/6,水,,,22,,,21,,,2,,,20,
2022/7/7,木,11,11,11,1,1,1,2,22,,1,1,1,23
2022/7/8,金,1,1,1,11,11,11,1,1,1,22,20,,1
2022/7/9,土,,,,,,,,,,,,,
2022/7/10,日,,,,,,,,,,,,,
2022/7/11,月,20,22,,1,1,1,11,11,11,1,1,1,
2022/7/12,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/7/13,水,,,2,,,22,,,20,,,21,
2022/7/14,木,11,11,11,1,1,1,21,20,,1,1,1,20
2022/7/15,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/7/16,土,,,,,,,,,,,,,
2022/7/17,日,,,,,,,,,,,,,
2022/7/18,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/7/19,火,1,1,1,20,21,,1,1,1,11,11,11,25
2022/7/20,水,,,20,,,2,,,21,,,22,
2022/7/21,木,11,11,11,1,1,1,22,2,,1,1,1,23
2022/7/22,金,1,1,1,11,11,11,1,1,1,20,22,,1
2022/7/23,土,,,,,,,,,,,,,
2022/7/24,日,,,,,,,,,,,,,
2022/7/25,月,22,20,,1,1,1,11,11,11,1,1,1,
2022/7/26,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/7/27,水,,,21,,,20,,,22,,,2,24
2022/7/28,木,11,11,11,1,1,1,20,21,,1,1,1,2
2022/7/29,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/7/30,土,,,,,,,,,,,,,
2022/7/31,日,,,,,,,,,,,,,
2022/8/1,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/8/2,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/8/3,水,,,22,,,21,,,2,,,20,
2022/8/4,木,11,11,11,1,1,1,2,22,,1,1,1,23
2022/8/5,金,1,1,1,11,11,11,1,1,1,22,20,,1
2022/8/6,土,,,,,,,,,,,,,
2022/8/7,日,,,,,,,,,,,,,
2022/8/8,月,20,22,,1,1,1,11,11,11,1,1,1,
2022/8/9,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/8/10,水,,,2,,,22,,,20,,,21,
2022/8/11,木,11,11,11,1,1,1,21,20,,1,1,1,20
2022/8/12,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/8/13,土,,,,,,,,,,,,,
2022/8/14,日,,,,,,,,,,,,,
2022/8/15,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/8/16,火,1,1,1,20,21,,1,1,1,11,11,11,25
2022/8/17,水,,,20,,,2,,,21,,,22,
2022/8/18,木,11,11,11,1,1,1,22,2,,1,1,1,23
2022/8/19,金,1,1,1,11,11,11,1,1,1,20,22,,1
2022/8/20,土,,,,,,,,,,,,,
2022/8/21,日,,,,,,,,,,,,,
2022/8/22,月,22,20,,1,1,1,11,11,11,1,1,1,
2022/8/23,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/8/24,水,,,21,,,20,,,22,,,2,24
2022/8/25,木,11,11,11,1,1,1,20,21,,1,1,1,2
2022/8/26,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/8/27,土,,,,,,,,,,,,,
2022/8/28,日,,,,,,,,,,,,,
2022/8/29,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/8/30,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/8/31,水,,,22,,,21,,,2,,,20,
2022/9/1,木,11,11,11,1,1,1,2,22,,1,1,1,23
2022/9/2,金,1,1,1,11,11,11,1,1,1,22,20,,1
2022/9/3,土,,,,,,,,,,,,,
2022/9/4,日,,,,,,,,,,,,,
2022/9/5,月,20,22,,1,1,1,11,11,11,1,1,1,
2022/9/6,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/9/7,水,,,2,,,22,,,20,,,21,
2022/9/8,木,11,11,11,1,1,1,21,20,,1,1,1,20
2022/9/9,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/9/10,土,,,,,,,,,,,,,
2022/9/11,日,,,,,,,,,,,,,
2022/9/12,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/9/13,火,1,1,1,20,21,,1,1,1,11,11,11,25
2022/9/14,水,,,20,,,2,,,21,,,22,
2022/9/15,木,11,11,11,1,1,1,22,2,,1,1,1,23
2022/9/16,金,1,1,1,11,11,11,1,1,1,20,22,,1
2022/9/17,土,,,,,,,,,,,,,
2022/9/18,日,,,,,,,,,,,,,
2022/9/19,月,22,20,,1,1,1,11,11,11,1,1,1,
2022/9/20,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/9/21,水,,,21,,,20,,,22,,,2,
2022/9/22,木,11,11,11,1,1,1,20,21,,1,1,1,2
2022/9/23,金,,,,,,,,,,,,,
2022/9/24,土,,,,,,,,,,,,,
2022/9/25,日,,,,,,,,,,,,,
2022/9/26,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/9/27,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/9/28,水,,,22,,,21,,,2,,,20,24
2022/9/29,木,11,11,11,1,1,1,2,22,,1,1,1,
2022/9/30,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/10/1,土,,,,,,,,,,,,,
2022/10/2,日,,,,,,,,,,,,,
2022/10/3,月,20,22,,1,1,1,11,11,11,1,1,1,
2022/10/4,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/10/5,水,,,2,,,22,,,20,,,21,
2022/10/6,木,11,11,11,1,1,1,21,20,,1,1,1,23
2022/10/7,金,1,1,1,11,11,11,1,1,1,22,20,,1
2022/10/8,土,,,,,,,,,,,,,
2022/10/9,日,,,,,,,,,,,,,
2022/10/10,月,,,,,,,,,,,,,
2022/10/11,火,1,1,1,20,21,,1,1,1,11,11,11,25
2022/10/12,水,,,20,,,2,,,21,,,22,
2022/10/13,木,11,11,11,1,1,1,22,2,,1,1,1,20
2022/10/14,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/10/15,土,,,,,,,,,,,,,
2022/10/16,日,,,,,,,,,,,,,
2022/10/17,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/10/18,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/10/19,水,,,21,,,20,,,22,,,2,
2022/10/20,木,11,11,11,1,1,1,20,21,,1,1,1,23
2022/10/21,金,1,1,1,11,11,11,1,1,1,20,22,,1
2022/10/22,土,,,,,,,,,,,,,
2022/10/23,日,,,,,,,,,,,,,
2022/10/24,月,22,20,,1,1,1,11,11,11,1,1,1,
2022/10/25,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/10/26,水,,,22,,,21,,,2,,,20,24
2022/10/27,木,11,11,11,1,1,1,2,22,,1,1,1,2
2022/10/28,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/10/29,土,,,,,,,,,,,,,
2022/10/30,日,,,,,,,,,,,,,
2022/10/31,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/11/1,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/11/2,水,,,2,,,22,,,20,,,21,
2022/11/3,木,11,11,11,1,1,1,21,20,,1,1,1,23
2022/11/4,金,1,1,1,11,11,11,1,1,1,22,20,,1
2022/11/5,土,,,,,,,,,,,,,
2022/11/6,日,,,,,,,,,,,,,
2022/11/7,月,20,22,,1,1,1,11,11,11,1,1,1,
2022/11/8,火,1,1,1,20,21,,1,1,1,11,11,11,25
2022/11/9,水,,,20,,,2,,,21,,,22,
2022/11/10,木,11,11,11,1,1,1,22,2,,1,1,1,20
2022/11/11,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/11/12,土,,,,,,,,,,,,,
2022/11/13,日,,,,,,,,,,,,,
2022/11/14,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/11/15,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/11/16,水,,,21,,,20,,,22,,,2,
2022/11/17,木,11,11,11,1,1,1,20,21,,1,1,1,23
